Parameters Labels,Par_0,Wavelength0,ExpROI1_0,ExpROI2_0,Par_1,Wavelength1,ExpROI1_1,ExpROI2_1,Par_2,Wavelength2,ExpROI1_2,ExpROI2_2,Par_3,Wavelength3,ExpROI1_3,ExpROI2_3,Par_4,Wavelength4,ExpROI1_4,ExpROI2_4,Par_5,Wavelength5,ExpROI1_5,ExpROI2_5,Par_6,Wavelength6,ExpROI1_6,ExpROI2_6,Par_7,Wavelength7,ExpROI1_7,ExpROI2_7,Par_8,Wavelength8,ExpROI1_8,ExpROI2_8,Par_9,Wavelength9,ExpROI1_9,ExpROI2_9,Par_10,Wavelength10,ExpROI1_10,ExpROI2_10,Par_11,Wavelength11,ExpROI1_11,ExpROI2_11,Par_12,Wavelength12,ExpROI1_12,ExpROI2_12,Par_13,Wavelength13,ExpROI1_13,ExpROI2_13,Par_14,Wavelength14,ExpROI1_14,ExpROI2_14,Par_15,Wavelength15,ExpROI1_15,ExpROI2_15,Par_16,Wavelength16,ExpROI1_16,ExpROI2_16,Par_17,Wavelength17,ExpROI1_17,ExpROI2_17,Par_18,Wavelength18,ExpROI1_18,ExpROI2_18,Par_19,Wavelength19,ExpROI1_19,ExpROI2_19,Par_20,Wavelength20,ExpROI1_20,ExpROI2_20,Par_21,Wavelength21,ExpROI1_21,ExpROI2_21,Par_22,Wavelength22,ExpROI1_22,ExpROI2_22,Par_23,Wavelength23,ExpROI1_23,ExpROI2_23,Par_24,Wavelength24,ExpROI1_24,ExpROI2_24,Par_25,Wavelength25,ExpROI1_25,ExpROI2_25,Par_26,Wavelength26,ExpROI1_26,ExpROI2_26,Par_27,Wavelength27,ExpROI1_27,ExpROI2_27,Par_28,Wavelength28,ExpROI1_28,ExpROI2_28,Par_29,Wavelength29,ExpROI1_29,ExpROI2_29,Par_30,Wavelength30,ExpROI1_30,ExpROI2_30,Par_31,Wavelength31,ExpROI1_31,ExpROI2_31,Par_32,Wavelength32,ExpROI1_32,ExpROI2_32,Par_33,Wavelength33,ExpROI1_33,ExpROI2_33,Par_34,Wavelength34,ExpROI1_34,ExpROI2_34,Par_35,Wavelength35,ExpROI1_35,ExpROI2_35,Par_36,Wavelength36,ExpROI1_36,ExpROI2_36,Par_37,Wavelength37,ExpROI1_37,ExpROI2_37,Par_38,Wavelength38,ExpROI1_38,ExpROI2_38,Par_39,Wavelength39,ExpROI1_39,ExpROI2_39,Par_40,Wavelength40,ExpROI1_40,ExpROI2_40,Par_41,Wavelength41,ExpROI1_41,ExpROI2_41,Par_42,Wavelength42,ExpROI1_42,ExpROI2_42,Par_43,Wavelength43,ExpROI1_43,ExpROI2_43,Par_44,Wavelength44,ExpROI1_44,ExpROI2_44,Par_45,Wavelength45,ExpROI1_45,ExpROI2_45
Fianium_Select_W6,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_W7,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A1,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A2,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A3,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A4,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,1.2800000E+5,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A5,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A6,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fianium_Select_A7,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33600A_Ch1_Vpp,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33600A_Ch1_Vdc,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
